Nome Workset,Workset Id,Unique ID,Kind,nÂ° elementi,Stato
Workset1,0,e3e052f8-0156-11d5-9301-0000863f27ad,UserWorkset,70,0
"Viste, livelli e griglie condivise",182,fe0e78ba-7b0a-4d10-bf71-0cdb57e0df46,UserWorkset,71,0
01-ALL-Link URS ,315,5d2c8d15-c3b8-43d8-b5fa-497fc3c5803f,UserWorkset,0,0
02-ALL-Link CAD,316,8cc68e18-7397-4ac5-baa1-96da0433bc31,UserWorkset,0,0
03-ALL-Link Masterplan,317,165d6152-06b3-4924-a057-36cb710d17f8,UserWorkset,0,0
04-ALL-Link ARC,318,b695e77b-8f57-4402-b6b4-b0cb7c3ae304,UserWorkset,0,0
05-ALL-Link STR,319,ef53ad0c-f46f-4938-a1ee-a6b5ee252842,UserWorkset,0,0
06-ALL-Link MEP,320,f6989177-cda6-4ecc-8903-d85ef51ad999,UserWorkset,0,0
07-ALL-Link NuvolePunti,321,f1451127-d5e3-4a95-8158-855c1c23d565,UserWorkset,0,0
20-ARC-Hide,322,c77260ca-33b4-4a53-8886-c290c5d88fee,UserWorkset,0,0
21-ARC-ADR,323,7f855e33-a5d7-450a-b047-95fc5326ef97,UserWorkset,0,0
22-ARC-OPJ,324,a1cfeae8-5de4-4a9f-a491-48ea2d2c9074,UserWorkset,0,0
30-STR-Hide,325,e7c3e436-762f-44e4-94c7-9e81832d5e60,UserWorkset,0,0
31-STR-INC,326,dfab562a-1ded-4ddf-b8cf-a21befef5a10,UserWorkset,0,0
40-MEP-Hide,327,fc9a4522-1c0e-41ff-a9a4-e876de6ca8c0,UserWorkset,0,0
41-MEP-SEI,328,719c405b-6a91-4da2-a6bf-ec180157fb1f,UserWorkset,0,0
08-ALL-Link ADB,329,43d9904d-be72-4b0b-9da5-b927496c9e7c,UserWorkset,0,0
23-ARC-ADRI,368,ffc4036e-b1cf-4c86-8b36-e0411305d91c,UserWorkset,4090,0
00-ALL- Link CAD Lavorazione,505,73c4c593-e384-4434-96db-9e3872310ed9,UserWorkset,0,0