Categoria,Id Elemento,Nome Elemento,Pin Attivo,Copy-Monitor,Stato
Griglie,683554,28,Pinnato,Non Monitorato,0
Griglie,683560,25,Pinnato,Non Monitorato,0
Griglie,683562,24,Pinnato,Non Monitorato,0
Griglie,683564,23,Pinnato,Non Monitorato,0
Griglie,683568,22,Pinnato,Non Monitorato,0
Griglie,683570,21,Pinnato,Non Monitorato,0
Griglie,683572,20,Pinnato,Non Monitorato,0
Griglie,683574,19,Pinnato,Non Monitorato,0
Griglie,683576,18,Pinnato,Non Monitorato,0
Griglie,683578,17,Pinnato,Non Monitorato,0
Griglie,683580,16,Pinnato,Non Monitorato,0
Griglie,683582,15,Pinnato,Non Monitorato,0
Griglie,683584,14,Pinnato,Non Monitorato,0
Griglie,683586,13,Pinnato,Non Monitorato,0
Griglie,683588,12,Pinnato,Non Monitorato,0
Griglie,683590,11,Pinnato,Non Monitorato,0
Griglie,683592,10,Pinnato,Non Monitorato,0
Griglie,683594,09,Pinnato,Non Monitorato,0
Griglie,683596,08,Pinnato,Non Monitorato,0
Griglie,683598,07,Pinnato,Non Monitorato,0
Griglie,683600,06,Pinnato,Non Monitorato,0
Griglie,683602,05,Pinnato,Non Monitorato,0
Griglie,683604,04,Pinnato,Non Monitorato,0
Griglie,683606,03,Pinnato,Non Monitorato,0
Griglie,683608,02,Pinnato,Non Monitorato,0
Griglie,683610,01,Pinnato,Non Monitorato,0
Griglie,683612,A,Pinnato,Non Monitorato,0
Griglie,683614,B,Pinnato,Non Monitorato,0
Griglie,683616,C,Pinnato,Non Monitorato,0
Griglie,683618,D,Pinnato,Non Monitorato,0
Griglie,683620,E,Pinnato,Non Monitorato,0
Griglie,683622,F,Pinnato,Non Monitorato,0
Griglie,683624,G,Pinnato,Non Monitorato,0
Griglie,683626,H,Pinnato,Non Monitorato,0
Griglie,683628,I,Pinnato,Non Monitorato,0
Griglie,683630,J,Pinnato,Non Monitorato,0
Griglie,683632,K,Pinnato,Non Monitorato,0
Griglie,683634,L,Pinnato,Non Monitorato,0
Griglie,683636,M,Pinnato,Non Monitorato,0
Griglie,712132,27,Non Pinnato,Non Monitorato,0
Griglie,712134,26,Non Pinnato,Non Monitorato,0
Griglie,712136,A',Non Pinnato,Non Monitorato,0
Griglie,719428,B',Non Pinnato,Non Monitorato,0
Griglie,719430,E',Non Pinnato,Non Monitorato,0
Griglie,719432,15',Non Pinnato,Non Monitorato,0
Griglie,719434,15'',Non Pinnato,Non Monitorato,0
Griglie,719436,18',Non Pinnato,Non Monitorato,0
Griglie,719438,21',Non Pinnato,Non Monitorato,0
Livelli,666044,ST_LIV_PE_P00_-0.48m,Pinnato,Non Monitorato,0
Livelli,666323,AR_LIV_PE_P00_+0.00m,Pinnato,Non Monitorato,0
Livelli,666660,ST_LIV_PE_P01_+5.08m,Pinnato,Non Monitorato,0
Livelli,666662,AR_LIV_PE_P01_+5.20m,Pinnato,Non Monitorato,0
Livelli,666664,ST_LIV_PE_P02_+10.28m,Pinnato,Non Monitorato,0
Livelli,666666,AR_LIV_PE_P02_+10.40m,Pinnato,Non Monitorato,0
Livelli,666668,ST_LIV_PE_PC2_+15.48m,Pinnato,Non Monitorato,0
Livelli,666670,AR_LIV_PE_PC2_+15.73m,Pinnato,Non Monitorato,0
Livelli,679086,AR_LIV_PE_PC1_+12.83m,Pinnato,Non Monitorato,0
Livelli,686512,ST_LIV_PE_PC1_+12.50m,Pinnato,Non Monitorato,0